id;nombre;slug;descripcion;categoria;duracion;total_de_articulos;fecha_actualizacion
1;Agent Squares;supply-chains;Bedfordshire;VERSION_CONTROL;invoice;Liaison Tonga;2019-12-15
2;needs-based Sports Global;generating;actuating India;MOBILE;Games;tertiary;2019-12-15
3;pixel Phased payment;Towels Internal;seize generate;BACK_END;Generic;Business-focused generate grid-enabled;2019-12-14
4;monitor methodology West Virginia;reintermediate Factors;sensor;UNIT_TESTING;clear-thinking Auto Loan Account;indexing;2019-12-14
5;Pants Auto Loan Account;Incredible Incredible;supply-chains feed Investment Account;CLOUD;Clothing Engineer Toys;granular;2019-12-15
6;Principal Soft Quality;Cocos (Keeling) Islands Awesome;USB alarm 1080p;CLOUD;Triple-buffered Borders magenta;Tasty Metal Chair Handcrafted Rubber Sausages Officer;2019-12-14
7;Unions algorithm;Leone;azure;UNIT_TESTING;online program Refined Granite Gloves;quantifying Baby;2019-12-14
8;Organic Granite;SMS;magnetic interface;DATABASE;Maldives bluetooth policy;Timor-Leste e-commerce;2019-12-14
9;web-readiness;JBOD Books;sky blue matrix Data;BACK_END;Licensed Steel Shirt Sleek Granite Tuna;AGP Coordinator;2019-12-14
10;e-services;Russian Federation program;Practical;DATABASE;Persevering Gorgeous Steel Salad Associate;Fantastic whiteboard;2019-12-15
